,Titles,Platform,Format,Playing Status,Owned Status,hltbTitle,hltbURL,titleMatch
0,10 Second Ninja X,PS4/PS Vita,Digital,Not Played,Own,,,
1,Dead Space,PC,Steam,Complete,Own,,,
2,Call of Duty Black Ops II,PS3,CD,Not Played,Own,,,
3,Aaru's Awakening,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
4,Outland,PS3,Digital,Not Played,Own,,,
5,ABZU,PS4,Digital,Not Played,Own,,,
6,AirMech Arena,PS4,Digital,Played,Own,,,
7,Amnesia: Collection,PS4,Digital,Not Played,Own,,,
8,Amplitude,PS4,Digital,Not Played,Own,,,
9,Twisted Metal,PS3,Digital,Complete,Own,,,
10,Apotheon,PS4,Digital,Not Played,Own,,,
11,Assassin's Creed Freedom Cry,PS4,Digital,Not Played,Own,,,
12,Azkend 2,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
13,God of War: Ascension,PS3,Digital,Complete,Own,,,
14,BADLAND: Game of the Year Edition,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
15,Battleborn,PS4,Digital,Not Played,Own,,,
16,Bloodborne,PS4,Blu Ray,Not Played,Own,,,
17,Borderlands The Handsome Jack Collection,PS4,Blu Ray,Playing,Own,,,
18,Bound,PS4,Digital,Not Played,Own,,,
19,Broforce,PS4,Digital,Not Played,Own,,,
20,Broken Age,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
21,Geometry Wars 3: Dimensions Evolved,PS3/PS Vita,Digital,Not Played,Own,,,
22,CastleStorm,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
23,Color Guardians,PS4,Digital,Not Played,Own,,,
24,Contrast,PS4,Digital,Not Played,Own,,,
25,CounterSpy,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
26,Murasaki Baby,PS3/PS Vita,Digital,Not Played,Own,,,
27,Curses 'N Chaos,PS4/PS Vita,Digital,Not Played,Own,,,
28,Darksiders 2 Deathinitive Edition,PS4,Digital,Not Played,Own,,,
29,MonsterBag,PS3/PS Vita,Digital,Not Played,Own,,,
30,Day of the Tentacle Remastered,PS4,Digital,Not Played,Own,,,
31,Killzone: Mercenary,PS3/PS Vita,Digital,Not Played,Own,,,
32,Dead Nation: Apocalypse Edition,PS4,Digital,Not Played,Own,,,
33,Grid Autosport,PS3,Digital,Not Played,Own,,,
34,Dead Star,PS4,Digital,Not Played,Own,,,
35,Lemmings Touch,PS3/PS Vita,Digital,Not Played,Own,,,
36,Persona 4 Area Ultimax,PS3,Digital,Not Played,Own,,,
37,Destiny,PS4,Blu Ray,Complete,Sold,,,
38,Destiny 2,PS4,Blu Ray,Playing,Own,,,
39,History Legends of War Patton,PS3/PS Vita,Digital,Not Played,Own,,,
40,Nihilumbra,PS3/PS Vita,Digital,Not Played,Own,,,
41,Medal of Honor Warfighter,PS3,Digital,Not Played,Own,,,
42,Armored Core,PS3/PS Vita,Digital,Not Played,Own,,,
43,Rocketbirds: Hardboiled Chicken,PS3/PS Vita,Digital,Not Played,Own,,,
44,Doki-Doki Universe,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
45,Mass Effect 2,PS3,Digital,Beaten,Own,,,
46,"Don't Die, Mr. Robot!",PS4/PS Vita,Digital,Not Played,Own,,,
47,inviZimals,PS3/PS Vita,Digital,Not Played,Own,,,
48,Don't Starve: Console Edition,PS4,Digital,Played,Own,,,
49,Downwell,PS4/PS Vita,Digital,Not Played,Own,,,
50,Gravity Rush,PS3/PS Vita,Digital,Not Played,Own,,,
51,Unit 13,PS3/PS Vita,Digital,Not Played,Own,,,
52,Wipeout 2048,PS3/PS Vita,Digital,Not Played,Own,,,
53,Uncharted: Golden Abyss,PS3/PS Vita,Digital,Beaten,Own,,,
54,Sly Cooper: Thieves in Time,PS3/PS Vita,Digital,Not Played,Own,,,
55,Smart As...,PS3/PS Vita,Digital,Not Played,Own,,,
56,Soul Sacrifice,PS3/PS Vita,Digital,Not Played,Own,,,
57,Dragon Fin Soup,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
58,Drawn to Death,PS4,Digital,Not Played,Own,,,
59,The Hungry Horde,PS3/PS Vita,Digital,Not Played,Own,,,
60,Scott Pilgrim vs. the World,PS3,Digital,Not Played,Own,,,
61,Call of Juarez: Gunslinger,PS3,Digital,Not Played,Own,,,
62,Cloudberry Kingdom,PS3,Digital,Not Played,Own,,,
63,Rayman Origins,PS3/PS Vita,Digital,Not Played,Own,,,
64,Tekken Revolution,PS3,Digital,Not Played,Own,,,
65,inFAMOUS,PS3,Digital,Beaten,Own,,,
66,inFAMOUS 2,PS3,Digital,Beaten,Own,,,
67,Warhawk (Original),PS3,Digital,Not Played,Own,,,
